;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;5;50;FBN + InterrouteSwap;Intraroute + Interroute + Relocation + TwoOpt;3582.0;837.769228314155;1728.0;819.2654956122593;8632.0;773.3905879717131;4427.0;766.4975694787379;8112.0;818.7830960951322;5103.0;778.4950957342169;16475.0;1661.214302698657;10364.0;1645.169274117676;15818.0;1389.0823267496514;6658.0;1343.0930148058326;20308.0;1933.1999835869306;14177.0;1872.898133495297;
VNS GRASP CONSTRUCTIVE;5;50;FBN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;1236.0;994.4425953242331;695.0;920.5184521553778;1327.0;897.6632372572321;634.0;817.3784926386626;2044.0;1055.1565942859438;1209.0;936.6584912065559;2070.0;1905.6160722756667;1416.0;1843.3703964067267;3406.0;1648.92474686227;1313.0;1568.887083607861;3552.0;2336.4738863625344;1139.0;2197.500320061771;
VNS GRASP CONSTRUCTIVE;5;50;FBN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;626.0;954.0033089065346;442.0;861.2861697916877;1509.0;892.0615118304346;969.0;838.1314238686268;1519.0;1067.9326115361348;1107.0;961.195277427009;1839.0;1885.3831596902542;998.0;1811.1315805718475;2171.0;1715.393213308978;1156.0;1660.9326522341735;2486.0;2336.218003350149;774.0;2203.5932173306555;
VNS GRASP CONSTRUCTIVE;5;50;VND + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;2223.0;954.6327966575445;1118.0;843.3939644070613;3352.0;909.0082552951496;1321.0;792.008515838192;4351.0;1077.500906359062;1991.0;926.3468490755813;3730.0;1929.009565649792;2564.0;1787.9149770913523;9456.0;1648.693556982977;4525.0;1592.528975308936;7148.0;2343.8870852018513;3236.0;2275.4011751701055;
VNS GRASP CONSTRUCTIVE;5;50;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;4425.0;824.7196504001635;3684.0;797.4512901189913;7636.0;772.2427321783615;6478.0;756.9017100820843;13031.0;810.3967650816088;8586.0;746.6897044458785;18475.0;1637.570910016432;11992.0;1616.2478568103315;44117.0;1371.687272260162;19138.0;1318.4106060259412;65566.0;1929.8533381277862;38203.0;1859.433038568482;
VNS GRASP CONSTRUCTIVE;5;50;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;5761.0;837.0719013184341;3923.0;829.4113509594225;11094.0;768.7255353623325;8423.0;752.9210592274059;15113.0;770.6817036846937;13324.0;744.2280442400832;31790.0;1649.622439892882;15090.0;1637.9376707894266;47065.0;1376.8883230070217;30121.0;1334.1898854838919;62167.0;1922.7131048170231;48513.0;1830.771632717602;
;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;5;50;BN + Relocation;Interroute + Relocation + Intraroute + TwoOpt;6409.0;835.6966963417123;3440.0;806.5512073021426;9811.0;773.1563744182265;6582.0;755.9766275649671;34940.0;767.7879613694142;16455.0;746.7155246721863;44464.0;1670.9931854903175;30596.0;1643.54726771373;70984.0;1428.1246813421353;43090.0;1368.139868565828;111150.0;1958.720097877264;82293.0;1924.9517827881639;
VNS GRASP CONSTRUCTIVE;5;50;BN + Interroute;Interroute + Relocation + Intraroute + TwoOpt;10494.0;831.1867491140194;6009.0;795.464826455936;24838.0;783.0026547710862;15683.0;767.1173041945219;39178.0;771.922201521215;31142.0;748.6201381258155;36876.0;1667.0707265136086;30237.0;1655.0643267963815;77408.0;1389.3642596807335;48487.0;1359.3719396399858;105928.0;1929.0557075851448;60311.0;1875.5821233938125;
VNS GRASP CONSTRUCTIVE;5;50;BN + IntrarouteSwap;Interroute + Relocation + Intraroute + TwoOpt;3208.0;871.6297966791365;1608.0;828.1165781640728;5135.0;890.6570927042587;2145.0;842.4110957277658;5134.0;1051.6394056557415;2633.0;947.5851596580735;5778.0;1902.6209830048792;2698.0;1831.3838692976117;6431.0;1755.5339459703168;3268.0;1687.729935687821;9410.0;2312.9702208572353;5570.0;2247.2580639548273;
VNS GRASP CONSTRUCTIVE;5;50;BN + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;1938.0;921.2711157447077;534.0;787.8086948893184;2715.0;885.6117866095701;788.0;804.8129010193164;2739.0;991.776489341976;1420.0;911.5344686808223;2697.0;1922.861850166638;1766.0;1890.275701781877;4399.0;1730.008938883918;2503.0;1533.7954421840045;4195.0;2283.4125318351826;2547.0;2232.5764875744244;
VNS GRASP CONSTRUCTIVE;5;50;FBN + Relocation;Interroute + Relocation + Intraroute + TwoOpt;6173.0;825.3192868771981;2092.0;792.0856040175638;14298.0;768.8356967938178;8505.0;763.0833652789977;16603.0;786.3703409676858;7819.0;760.0494596964395;23497.0;1708.7663201203977;18351.0;1669.1840822178592;38171.0;1445.392965981573;25508.0;1423.5435162104527;65484.0;1996.142876747765;43507.0;1920.0445048308081;
VNS GRASP CONSTRUCTIVE;5;50;FBN + InterrouteSwap;Interroute + Relocation + Intraroute + TwoOpt;2477.0;838.568197275166;1829.0;808.3123927606707;6569.0;777.1412304165642;5581.0;762.2837383827426;9981.0;813.4498626131677;6406.0;776.9376895934668;11423.0;1679.850090422972;8650.0;1648.1571955999414;15599.0;1407.1730112075322;10449.0;1385.6460953229014;31705.0;1921.8444006123768;14813.0;1860.2063353657622;
VNS GRASP CONSTRUCTIVE;5;50;FBN + IntrarouteSwap;Interroute + Relocation + Intraroute + TwoOpt;1139.0;967.4189015893951;851.0;872.0158431821327;1018.0;908.1885068067002;594.0;857.9512448211678;2080.0;1018.0998838252024;1503.0;928.6860152823991;2077.0;1900.8807304801492;915.0;1859.5114812615334;2762.0;1720.0085392910491;1387.0;1574.5927422554678;4399.0;2264.4988059057678;2425.0;2219.997076813936;
VNS GRASP CONSTRUCTIVE;5;50;FBN + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;837.0;907.9502494575714;534.0;866.8626158854505;791.0;898.552368639884;522.0;855.417284704778;1047.0;1088.747677477751;459.0;1061.8412551961417;926.0;1943.6996950851924;701.0;1842.6122680387975;2087.0;1610.8854494324744;1307.0;1575.7663372371658;2697.0;2291.893513356636;617.0;1984.293543436251;
VNS GRASP CONSTRUCTIVE;5;50;VND + Intraroute + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;1531.0;960.8622816080497;875.0;875.1323803343148;4357.0;886.4006832451794;2051.0;826.8767851758125;4505.0;1088.9222797181133;2182.0;987.5956143123004;6273.0;1914.686840959855;2934.0;1849.3798650099498;7763.0;1714.6398383456683;5045.0;1616.1117564528088;10221.0;2290.126248246563;6604.0;2158.342058269356;
VNS GRASP CONSTRUCTIVE;5;50;VND + Intraroute + Interroute + Relocation + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;4738.0;833.968346580367;3177.0;797.4512901189914;10072.0;762.0069064805677;7791.0;752.9563832642848;12866.0;755.7188231516201;8101.0;745.2661817545501;29241.0;1663.8552653545812;18604.0;1649.4632089313052;38841.0;1376.6918755305499;18359.0;1333.8432872504643;51594.0;1888.9900336322396;29909.0;1817.6900585320054;
VNS GRASP CONSTRUCTIVE;5;50;VND + Interroute + Relocation + Intraroute + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;4852.0;837.4440847311338;3722.0;813.5283473671386;11894.0;765.8398645699784;7602.0;752.9490661657452;16525.0;759.8862868426861;11080.0;745.26618175455;26231.0;1663.6036467602116;18064.0;1616.719732536246;39523.0;1383.3361340898327;27298.0;1339.6226890836524;109417.0;1879.4407791411918;76052.0;1837.0912641773218;
